Date,Time,Workshop Title,Speaker,Role / Position,Company,Room,Access
2026-08-26,10:00-12:00,ChatGPT Work: AI Agents in Action,Tyler Ryu,Applied AI Engineer,OpenAI,Workshop Room B,Reserve
2026-08-26,13:00-14:30,Crossing the Pilot-to-Production Divide: An End-to-End Data Plane for AI Agents,Sweta Dwivedi,Solutions Engineer,Couchbase,Workshop Room A,Reserve
2026-08-26,13:00-14:30,ChatGPT Work for Reporters,Tyler Ryu,Applied AI Engineer,OpenAI,Workshop Room B,Invitation only
2026-08-26,15:00-16:30,From Data to Action: Building an AI-Powered Customer Engine with CDP,Wipawasu Tijapornchai,Co-founder & CEO,Omega Grit,Workshop Room A,Reserve
2026-08-26,15:00-16:30,From Data to Action: Building an AI-Powered Customer Engine with CDP,William Wilson,"Principal Presales Engineer, Product Specialist (Data)",Twilio,Workshop Room A,Reserve
2026-08-26,15:00-16:30,The Death of the Technical Founder,Minesh Pore,Co-founder & CEO,SourcingGPT.ai,Workshop Room B,Reserve
2026-08-27,10:00-12:00,The Agentic Enterprise: From Hybrid Foundations to AI-Powered Growth,Greg McCreanor,Head of Partner Advisory,Boomi,Workshop Room A,Reserve
2026-08-27,10:00-11:00,"Own the Answer: How Founders Get Found, Understood and Recommended by AI",Tilo Bonow,Founder & CEO,PIABO Communications,Workshop Room B,Reserve
2026-08-27,11:30-12:00,Global Innovation District Alliance: Cross-Regional Collaboration for Next Generation Innovation Districts in Thailand,,,,Workshop Room B,Invitation + Walk-in
2026-08-27,12:00-12:30,MOU Signing: CU x Techsauce*,,,,Workshop Room B,Invitation + Walk-in
2026-08-27,13:00-14:30,Getting Ready for What Comes Next: A Gamified Futures Decision Lab,Martin Wezsky-Stalling,"Senior Advisor, CMU STEP",Ennova Partners,Workshop Room A,Reserve
2026-08-27,13:00-14:30,Fundraising 101: How to Raise Your First Round,Jirapat (Putter) Samarnsermsuk,Investment Analyst,A20 Ventures,Workshop Room B,Reserve
2026-08-27,13:00-14:30,Fundraising 101: How to Raise Your First Round,Parichat Poochana,Junior Program Manager,Venture Spark,Workshop Room B,Reserve
2026-08-27,15:00-16:30,"Create, Analyze, Automate. — Reimagining Work with Microsoft 365 Copilot",Chalermvate Pipatpanawong,CEO,9Expert Training,Workshop Room B,Reserve
2026-08-27,15:00-17:00,Tea Reception by British Embassy Bangkok,,,,Workshop Room A,Invitation only
2026-08-28,10:00-12:00,FinTech & Financial Services Career Advice (Conducted in Thai),Kittiya (Kit) Phramornchan,Marketing Manager,Jobsdb by SEEK,Workshop Room A,Invitation only
2026-08-28,10:00-12:00,FinTech & Financial Services Career Advice (Conducted in Thai),Pattar (Petchon) Phramchai,Senior Marketing Manager,Jobsdb by SEEK,Workshop Room A,Invitation only
2026-08-28,13:00-14:30,Canva Essentials: What's New and Practical Design Tips,Manita Pathanapongseangchai,Country Marketing Lead,Canva,Workshop Room A,Reserve
2026-08-28,13:00-14:30,Canva Essentials: What's New and Practical Design Tips,Nutthaphon Sumuphan,Marketing Manager,Canva,Workshop Room A,Reserve
2026-08-28,13:00-14:30,Canva Essentials: What's New and Practical Design Tips,Apichaya Tipmontien,Founder & CEO,AP Online Marketing | Modern Marketing & Brand Identity Specialist,Workshop Room A,Reserve
2026-08-28,13:00-14:30,Agentic Transformation: Building Your Intelligent Workplace with Gemini Enterprise,Wittawin Waiyaporn,Customer Solution Consultant,"Google Cloud, Google",Workshop Room B,Reserve
2026-08-28,15:00-16:30,Social Media Landscape 2026 เจาะอนาคตของยุคใหม่ รู้ทันข่าวจริง (Conducted in Thai),Sarun Bangsuwong,Co-founder & CEO,Uppercut Creative,Workshop Room A,Reserve
2026-08-28,15:00-15:30,Embodied Intelligence: The Key to Real-World Humanoid Applications,,,,Workshop Room B,Walk-in only
